x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-4.96875E-09,+115.01248250711E-03,+133.68199253451E-03,+184.25949150692E-03,+92.87884761575E-03
-4.93750E-09,+85.72378032837E-03,+104.39329035576E-03,+152.87873917255E-03,+65.68219559263E-03
-4.90625E-09,+56.43507814962E-03,+73.01253802139E-03,+121.49798683818E-03,+36.39349341388E-03
-4.87500E-09,+27.14637597087E-03,+41.63178568701E-03,+92.20928465943E-03,+7.10479123513E-03
-4.84375E-09,-2.14232620787E-03,+10.25103335264E-03,+58.73648216943E-03,-24.27596109923E-03
-4.81250E-09,-31.43102838662E-03,-21.12971898173E-03,+27.35572983506E-03,-53.56466327798E-03
-4.78125E-09,-60.71973056537E-03,-54.60252147172E-03,-4.02502249931E-03,-82.85336545673E-03
-4.75000E-09,-90.00843274411E-03,-85.98327380609E-03,-35.40577483368E-03,-114.23411779110E-03
-4.71875E-09,-119.29713492286E-03,-117.36402614047E-03,-66.78652716805E-03,-143.52281996984E-03
-4.68750E-09,-146.49378694598E-03,-148.74477847484E-03,-98.16727950242E-03,-172.81152214859E-03
-4.65625E-09,-173.69043896910E-03,-180.12553080921E-03,-129.54803183679E-03,-202.10022432734E-03
-4.62500E-09,-200.88709099222E-03,-209.41423298795E-03,-158.83673401554E-03,-231.38892650608E-03
-4.59375E-09,-228.08374301534E-03,-238.70293516669E-03,-188.12543619428E-03,-258.58557852920E-03
-4.56250E-09,-253.18834488284E-03,-265.89958718982E-03,-217.41413837303E-03,-285.78223055232E-03
-4.53125E-09,-278.29294675033E-03,-293.09623921294E-03,-244.61079039614E-03,-312.97888257544E-03
-4.50000E-09,-301.30549846221E-03,-318.20084108043E-03,-269.71539226364E-03,-335.99143428731E-03
-4.46875E-09,-326.41010032970E-03,-343.30544294793E-03,-294.81999413113E-03,-361.09603615481E-03
-4.43750E-09,-347.33060188595E-03,-366.31799465980E-03,-317.83254584300E-03,-382.01653771105E-03
-4.40625E-09,-370.34315359781E-03,-387.23849621604E-03,-338.75304739925E-03,-400.84498911167E-03
-4.37500E-09,-389.17160499844E-03,-406.06694761666E-03,-357.58149879987E-03,-419.67344051230E-03
-4.34375E-09,-408.00005639906E-03,-422.80334886166E-03,-376.40995020049E-03,-438.50189191292E-03
-4.31250E-09,-424.73645764405E-03,-439.53975010665E-03,-393.14635144549E-03,-455.23829315791E-03
-4.28125E-09,-441.47285888905E-03,-454.18410119603E-03,-409.88275269048E-03,-469.88264424728E-03
-4.25000E-09,-454.02515982280E-03,-468.82845228540E-03,-422.43505362423E-03,-484.52699533665E-03
-4.21875E-09,-468.66951091216E-03,-481.38075321914E-03,-434.98735455798E-03,-497.07929627040E-03
-4.18750E-09,-479.12976169029E-03,-491.84100399727E-03,-445.44760533610E-03,-505.44749689290E-03
-4.15625E-09,-487.49796231278E-03,-502.30125477539E-03,-455.90785611422E-03,-515.90774767102E-03
-4.12500E-09,-495.86616293528E-03,-510.66945539788E-03,-462.18400658109E-03,-522.18389813789E-03
-4.09375E-09,-502.14231340215E-03,-516.94560586475E-03,-466.36810689234E-03,-528.46004860476E-03
-4.06250E-09,-506.32641371340E-03,-521.12970617600E-03,-470.55220720359E-03,-532.64414891601E-03
-4.03125E-09,-510.51051402465E-03,-523.22175633162E-03,-472.64425735921E-03,-536.82824922726E-03
-4.00000E-09,-510.51051402464E-03,-523.22175633162E-03,-474.73630751483E-03,-536.82824922726E-03
-3.96875E-09,-508.41846386902E-03,-523.22175633162E-03,-474.73630751483E-03,-536.82824922725E-03
-3.93750E-09,-506.32641371339E-03,-519.03765602037E-03,-470.55220720358E-03,-534.73619907163E-03
-3.90625E-09,-502.14231340214E-03,-514.85355570912E-03,-466.36810689232E-03,-530.55209876037E-03
-3.87500E-09,-495.86616293526E-03,-508.57740524224E-03,-460.09195642545E-03,-524.27594829350E-03
-3.84375E-09,-487.49796231276E-03,-498.11715446411E-03,-449.63170564732E-03,-515.90774767100E-03
-3.81250E-09,-477.03771153463E-03,-487.65690368599E-03,-439.17145486919E-03,-505.44749689287E-03
