x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-4.01562E-09,-38.87029405450E-03,-1.75732222851E-03,-25.48117231345E-03,-5.81589975627E-03,-40.72265625000E-03,-31.34765625000E-03
-4.00000E-09,-38.95397606539E-03,-1.67364021763E-03,-23.59832706861E-03,-5.06276165834E-03,-40.72265625000E-03,-28.71093750000E-03
-3.98437E-09,-39.03765807627E-03,-1.54811720131E-03,-21.67364081833E-03,-4.30962356040E-03,-40.62500000000E-03,-26.07421875000E-03
-3.96875E-09,-39.07949908171E-03,-1.42259418499E-03,-19.74895456806E-03,-3.55648546247E-03,-40.52734375000E-03,-23.33984375000E-03
-3.95312E-09,-39.03765807627E-03,-1.33891217411E-03,-17.78242731234E-03,-2.80334736453E-03,-40.42968750000E-03,-20.60546875000E-03
-3.93750E-09,-38.95397606539E-03,-1.21338915778E-03,-15.77405905118E-03,-2.05020926660E-03,-40.23437500000E-03,-17.87109375000E-03
-3.92187E-09,-38.87029405450E-03,-1.08786614146E-03,-13.80753179546E-03,-1.33891217410E-03,-40.03906250000E-03,-15.23437500000E-03
-3.90625E-09,-38.70293003274E-03,-962.34312514E-06,-11.79916353430E-03,-585.77407617E-06,-39.74609375000E-03,-12.40234375000E-03
-3.89062E-09,-38.49372500554E-03,-836.82010882E-06,-9.83263627859E-03,+125.52301632E-06,-39.35546875000E-03,-9.76562500000E-03
-3.87500E-09,-38.28451997833E-03,-711.29709249E-06,-7.90795002831E-03,+836.82010882E-06,-39.06250000000E-03,-7.12890625000E-03
-3.85937E-09,-37.99163294025E-03,-585.77407617E-06,-5.94142277259E-03,+1.58995820675E-03,-38.67187500000E-03,-4.39453125000E-03
-3.84375E-09,-37.69874590216E-03,-460.25105985E-06,-4.01673652231E-03,+2.30125529925E-03,-38.18359375000E-03,-1.75781250000E-03
-3.82812E-09,-37.36401785864E-03,-334.72804353E-06,-2.09205027204E-03,+3.01255239174E-03,-37.79296875000E-03,+878.90625000E-06
-3.81250E-09,-36.98744880967E-03,-209.20502720E-06,-209.20502720E-06,+3.72384948423E-03,-37.20703125000E-03,+3.41796875000E-03
-3.79687E-09,-36.61087976070E-03,-41.84100544E-06,+1.71548122308E-03,+4.47698758217E-03,-36.71875000000E-03,+6.15234375000E-03
-3.78125E-09,-36.19246970629E-03,+83.68201088E-06,+3.64016747335E-03,+5.18828467466E-03,-36.13281250000E-03,+8.78906250000E-03
-3.76562E-09,-35.73221864644E-03,+209.20502720E-06,+5.60669472907E-03,+5.85774076171E-03,-35.54687500000E-03,+11.42578125000E-03
-3.75000E-09,-35.23012658115E-03,+376.56904897E-06,+7.53138097935E-03,+6.56903785421E-03,-34.86328125000E-03,+14.06250000000E-03
-3.73437E-09,-34.72803451586E-03,+543.93307073E-06,+9.49790823507E-03,+7.23849394126E-03,-34.27734375000E-03,+16.69921875000E-03
-3.71875E-09,-34.18410144513E-03,+669.45608705E-06,+11.46443549078E-03,+7.90795002831E-03,-33.59375000000E-03,+19.33593750000E-03
